PROJECT_ACRONYM;MODEL_ACRONYM;LENGTH(MODEL_ACRONYM);MODEL_LABEL;RIGHTS;RIGHTS_URI;RIGHTS_IDENTIFIER
CMIP6_input4MIPs;NCAR-CCMI-ssp119-1-0;20;NCAR-CCMI-ssp119-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;NCAR-CCMI-ssp126-1-0;20;NCAR-CCMI-ssp126-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;NCAR-CCMI-ssp126-2-0;20;NCAR-CCMI-ssp126-2-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;NCAR-CCMI-ssp245-1-0;20;NCAR-CCMI-ssp245-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;NCAR-CCMI-ssp245-2-0;20;NCAR-CCMI-ssp245-2-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;NCAR-CCMI-ssp370-1-0;20;NCAR-CCMI-ssp370-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;NCAR-CCMI-ssp370-2-0;20;NCAR-CCMI-ssp370-2-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;NCAR-CCMI-ssp434-1-0;20;NCAR-CCMI-ssp434-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;NCAR-CCMI-ssp460-1-0;20;NCAR-CCMI-ssp460-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;NCAR-CCMI-ssp534os-1-0;22;NCAR-CCMI-ssp534os-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;NCAR-CCMI-ssp585-1-0;20;NCAR-CCMI-ssp585-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;NCAR-CCMI-ssp585-2-0;20;NCAR-CCMI-ssp585-2-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;NCAS;4;NCAS;unknown;;
CMIP6_input4MIPs;NCAS-2-1-0;10;NCAS-2-1-0;unknown;;
CMIP6_input4MIPs;NorESM1-M-rcp26-1-0;19;NorESM1-M-rcp26-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;NorESM1-M-rcp85-1-0;19;NorESM1-M-rcp85-1-0;Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0);http://creativecommons.org/licenses/by-sa/4.0/;CC BY-SA 4.0
CMIP6_input4MIPs;PCMDI-AMIP;10;PCMDI-AMIP;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
CMIP6_input4MIPs;PCMDI-AMIP-1-1-0;16;PCMDI-AMIP-1-1-0;Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International License (CC BY-NC-SA 4.0);http://creativecommons.org/licenses/by-nc-sa/4.0/;CC BY-NC-SA 4.0
